OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,properties.RatePer100K,Shape__Area,Shape__Length
1,27006,327.0,3.0,14872,Advance,,219.876277568585,2198.76277568585,1744189234.37061,355282.663136038
2,27007,65.0,0.0,2136,Ararat,,304.307116104869,3043.07116104869,592499585.594238,195922.003442792
3,27009,62.0,0.0,2937,Belews Creek,,211.099761661559,2110.99761661559,618093097.011353,191244.647442635
4,27011,197.0,2.0,5411,Boonville,,364.073184254297,3640.73184254297,1489580093.86462,316910.589814884
5,27012,843.0,17.0,28954,Clemmons,,291.151481660565,2911.51481660565,1176567385.86804,255774.303165276
6,27013,174.0,4.0,6495,Cleveland,,267.898383371824,2678.98383371825,2066336247.98627,379169.285246239
7,27014,22.0,0.0,957,Cooleemee,,229.885057471264,2298.85057471264,21479098.032959,22299.1178929161
8,27016,46.0,0.0,1682,Danbury,,273.483947681332,2734.83947681332,1068209590.0686,211061.413302457
9,27017,422.0,3.0,9499,Dobson,,444.257290241078,4442.57290241078,2962951682.04883,566348.974052304
10,27018,254.0,2.0,8221,East Bend,,308.964846125775,3089.64846125775,2331567909.96985,255811.974556888
11,27019,105.0,1.0,4234,Germanton,,247.992442135097,2479.92442135097,977414017.819214,270248.259734795
12,27020,229.0,4.0,6104,Hamptonville,,375.163826998689,3751.63826998689,2114111622.36755,316969.486887135
13,27021,441.0,5.0,17979,King,,245.286167195061,2452.86167195061,1469376476.14172,210392.900707099
14,27022,31.0,0.0,1512,Lawsonville,,205.026455026455,2050.26455026455,918745327.278442,200803.000966771
15,27023,356.0,2.0,12775,Lewisville,,278.66927592955,2786.6927592955,807172159.002075,183078.980128527
16,27024,71.0,2.0,2683,Lowgap,,264.629146477823,2646.29146477823,1265827411.39758,278411.484773322
17,27025,498.0,3.0,11117,Madison,,447.962579832689,4479.62579832689,2714649364.33142,468723.596670606
18,27027,140.0,0.0,4017,Mayodan,,348.518795120737,3485.18795120737,548179131.574585,172371.363079245
19,27028,863.0,10.0,28039,Mocksville,,307.785584364635,3077.85584364635,5475621774.30664,567238.136149725
20,27030,1387.0,23.0,37641,Mount Airy,,368.481177439494,3684.81177439494,4824085732.75671,624989.724929863
21,27040,328.0,1.0,13150,Pfafftown,,249.429657794677,2494.29657794677,763349953.536133,205025.773716105
22,27041,190.0,4.0,8020,Pilot Mountain,,236.907730673317,2369.07730673317,1629462738.40637,324677.141569035
23,27042,31.0,1.0,720,Pine Hall,,430.555555555556,4305.55555555556,290758639.069458,113971.243586081
24,27043,179.0,1.0,6442,Pinnacle,,277.864017385905,2778.64017385905,1935795027.06067,395674.180712496
25,27045,345.0,3.0,9583,Rural Hall,,360.012522174684,3600.12522174684,666085549.25769,154538.589918543
26,27046,55.0,1.0,1953,Sandy Ridge,,281.618023553507,2816.18023553507,1237681699.0647,217125.573744555
27,27047,49.0,0.0,1279,Siloam,,383.111806098514,3831.11806098514,576295820.815674,144984.839113672
28,27048,303.0,1.0,8902,Stoneville,,340.372949898899,3403.72949898899,2355000804.03674,325454.766660313
29,27050,110.0,1.0,4084,Tobaccoville,,269.343780607248,2693.43780607248,703876500.567505,219088.1792708
30,27051,206.0,3.0,8287,Walkertown,,248.582116568119,2485.82116568119,524680317.775635,151066.808563308
31,27052,252.0,7.0,10061,Walnut Cove,,250.472120067588,2504.72120067588,2710320219.82117,403203.611044297
32,27053,46.0,1.0,3156,Westfield,,145.75411913815,1457.5411913815,2152815477.55933,413464.446930882
33,27054,77.0,0.0,2608,Woodleaf,,295.245398773006,2952.45398773006,778193820.583862,201172.963339102
